record_type,fips,name,parcel_count,stratmap_vintage,prop_id_bad_rate,join_key,cad_url,cad_verification,vendor,adversarial,risk_classes,cost_est_usd
county,48453,Travis,834936,202508,0.5147,geo_id_or_address_crosswalk,https://gis.traviscountytx.gov/server1/rest/services/Boundaries_and_Jurisdictions/TCAD/MapServer,verified,unknown,REPRODUCED,crosswalk-required,14.29
county,48455,Trinity,25952,202503,0.0469,prop_id,,unverified,,,,0.44
county,48457,Tyler,33043,202503,0.0088,prop_id,,unverified,,,,0.57
county,48459,Upshur,30305,202503,0.0059,prop_id,,unverified,,,,0.52
county,48461,Upton,7882,202505,0.0025,prop_id,,unverified,,,,0.13
county,48463,Uvalde,21722,202503,0.0183,prop_id,,unverified,,,,0.37
county,48465,Val Verde,31635,202508,0.0,prop_id,,unverified,,,,0.54
county,48467,Van Zandt,43964,202503,0.0252,prop_id,,unverified,,,,0.75
county,48469,Victoria,45104,202503,0.0,prop_id,,unverified,,,,0.77
county,48471,Walker,35584,202503,0.0306,prop_id,,unverified,,,,0.61
county,48473,Waller,48136,202503,0.0004,prop_id,,unverified,,,,0.82
county,48475,Ward,15181,202505,0.0081,prop_id,,unverified,,,,0.26
county,48477,Washington,23475,202503,0.0074,prop_id,,unverified,,,,0.4
county,48479,Webb,98291,202507,0.0025,prop_id,,unverified,,,,1.68
county,48481,Wharton,31888,202503,0.0172,prop_id,,unverified,,,,0.55
county,48483,Wheeler,7692,202505,0.0673,prop_id,,unverified,,,,0.13
county,48485,Wichita,58742,202503,0.0025,prop_id,,unverified,,,,1.01
county,48487,Wilbarger,11895,202503,0.0792,prop_id,,unverified,,,,0.2
county,48489,Willacy,13989,202503,0.1271,prop_id,,unverified,,,,0.24
county,48491,Williamson,282983,202507,0.0004,prop_id,https://gis.wilco.org/arcgis/rest/services/public/county_wcad_parcels/MapServer,verified,unknown,,,4.84
county,48493,Wilson,28827,202503,0.0196,prop_id,,unverified,,,,0.49
county,48495,Winkler,7234,202503,0.0442,prop_id,,unverified,,,,0.12
county,48497,Wise,48705,202503,0.0,prop_id,,unverified,,,,0.83
county,48499,Wood,44576,202503,0.0262,prop_id,,unverified,,,,0.76
county,48501,Yoakum,7291,202503,0.0357,prop_id,,unverified,,,,0.12
county,48503,Young,16353,202503,0.0184,prop_id,,unverified,,,,0.28
county,48505,Zapata,12623,202503,0.1031,prop_id,,unverified,,,,0.22
county,48507,Zavala,9744,202503,0.0564,prop_id,,unverified,,,,0.17
