"propId","geoId","txgioGeomBytes","bcadPolyForPropId","bcadNonPolyForPropId","bcadPolySameGeoId","successorsCoveringFootprint","successorPropIds","classification"
"29869","R29869","636","0","0","0","0","","GONE_FROM_BCAD"
"29872","R29872","300","0","0","0","0","","GONE_FROM_BCAD"
"29904","R29904","1308","0","0","0","0","","GONE_FROM_BCAD"
"30030","R30030","348","0","0","0","0","","GONE_FROM_BCAD"
"30038","R30038","540","0","0","0","0","","GONE_FROM_BCAD"
"30089","R30089","396","0","0","0","0","","GONE_FROM_BCAD"
"30192","","348","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"30306","R30306","348","0","0","0","0","","GONE_FROM_BCAD"
"30403","R30403","444","0","0","0","0","","GONE_FROM_BCAD"
"30411","R30411","396","0","0","0","0","","GONE_FROM_BCAD"
"30515","R30515","588","0","0","0","0","","GONE_FROM_BCAD"
"30667","R30667","300","0","0","0","0","","GONE_FROM_BCAD"
"30675","R30675","684","0","0","0","0","","GONE_FROM_BCAD"
"30683","R30683","540","0","0","0","0","","GONE_FROM_BCAD"
"30691","R30691","588","0","0","0","0","","GONE_FROM_BCAD"
"30955","R30955","952","0","1","0","0","","RECORD_WITHOUT_POLYGON"
"30956","R30956","348","0","0","0","0","","GONE_FROM_BCAD"
"31082","R31082","300","0","0","0","0","","GONE_FROM_BCAD"
"31100","R31100","300","0","0","0","0","","GONE_FROM_BCAD"
"31238","","348","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"31469","","444","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"31493","R31493","348","0","0","0","0","","GONE_FROM_BCAD"
"31515","R31515","588","0","0","0","0","","GONE_FROM_BCAD"
"31684","R31684","1110","0","0","0","1","8731851","SUCCESSOR_POLYGON_OTHER_ID_COVERS_FOOTPRINT"
"31724","R31724","348","0","0","0","0","","GONE_FROM_BCAD"
"31958","R31958","348","0","0","0","0","","GONE_FROM_BCAD"
"31980","R31980","646","0","0","0","0","","GONE_FROM_BCAD"
"31981","","1308","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"32235","R32235","300","0","0","0","0","","GONE_FROM_BCAD"
"32289","","348","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"32381","R32381","444","0","0","0","0","","GONE_FROM_BCAD"
"32383","R32383","396","0","0","0","0","","GONE_FROM_BCAD"
"32390","R32390","444","0","0","0","0","","GONE_FROM_BCAD"
"32399","R32399","396","0","0","0","0","","GONE_FROM_BCAD"
"32418","","348","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"32427","","444","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"32448","","396","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"32901","R32901","396","0","0","0","0","","GONE_FROM_BCAD"
