id,authority
125598,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
125606,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
43899,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
125610,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
4269,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
41130,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
54978,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
55164,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
55224,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
55292,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
55297,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127208,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
55356,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
55369,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
55373,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
55401,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127217,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127219,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127222,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
12723,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
58150,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
57666,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
57709,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
58767,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127284,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
58055,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
58069,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127289,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
58635,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127295,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
59171,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127308,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127391,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127397,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
61077,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
56930,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
58673,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
